,391,393,59,mile, access, station,58,390,392
column-options,ardp,ardp,ardp,,,,reverse ardp,reverse ardp,reverse ardp
route-name,,,,,,,,,
days,CHI,CHI,CHI,,,,NOL,CDL,CDL
updown,,,,,,,,,
CHI,391 first,393 first,59 first,0,,,58 last,390 last,392 last
HMW,,,,24,,,,,
KKI,,,,57,,,,,
GLM,,,,82,,,,,
RTL,,,,115,,,,,
CHM,,,,129,,,,,
MAT,,,,173,,,,,
EFG,,,,200,,,,,
CEN,,,,253,,,,,
DQN,,,,289,,,,,
CDL,391 last,393 last,,309,,,,390 first,392 first
FTN,blank,blank,,406,,,,blank,blank
NBN,blank,blank,,442,,,,blank,blank
MEM,blank,blank,,528,,,,blank,blank
MKS,blank,blank,,597,,,,blank,blank
GWD,blank,blank,,654,,,,blank,blank
YAZ,blank,blank,,706,,,,blank,blank
JAN,blank,blank,,751,,,,blank,blank
HAZ,blank,blank,,784,,,,blank,blank
BRH,blank,blank,,805,,,,blank,blank
MCB,blank,blank,,828,,,,blank,blank
HMD,blank,blank,,881,,,,blank,blank
NOL,blank,blank,59 last,934,,,58 first,blank,blank
