,19,mile, access, station,timezone,20 wednesday,20 saturday
column-options,days ardp,,,,,days ardp reverse,days reverse
updown,,,,,,,
NYP,,0,,,,20 wednesday last,20 saturday last
NWK,,10,,,,,
MET,,24,,,,,
omit,NBK used to have service,32,,,,,
omit,PJC used to have service,48,,,,,
TRE,,58,,,,,
PHL,,91,,,,,
WIL,,116,,,,,
BAL,,185,,,,,
BWI,,226,,,,,
WAS,,226,,,,,
ALX,,234,,,,,
MSS,,259,,,,,
CLP,,294,,,,,
CVS,,338,,,,,
LYH,,399,,,,,
DAN,,462,,,,,
GRO,,513,,,,,
HPT,,529,,,,,
SAL,,563,,,,,
CLT,,605,,,,,
GAS,,627,,,,,
SPB,,682,,,,,
GRV,,713,,,,,
CSN,,743,,,,,
TCA,,777,,,,,
GNS,,814,,,,,
ATL,,863,,,,,
ATN,,963,,,,,
BHM,,1027,,,,,
TCL,,1082,,,,,
MEI,,1179,,,,,
LAU,,1235,,,,,
HBG,,1264,,,,,
PIC,,1328,,,,,
SDL,,1346,,,,,
NOL,,1381,,,,,
