,stations,access,63 monday,63 sunday,281,233,283,291,49,237,253,239,241,243,259,261
column-options,,,ardp,,,,,,ardp,,,,,,,days short-days-box
route-name,,,,,,,,,,,,,,,,
,,,"<div style=""text-align: center;"">(Via Rail #98)</div>","<div style=""text-align: center;"">(Via Rail #698)</div>",,,,,,,,,,,,
days,,,NYP,,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,
NYP,,,63 monday first,63 sunday first,281 first,233 first,283 first,291 first,49 first,237 first,253 first,239 first,241 first,243 first,259 first,261 first
YNY,,,,,,,,,,,,,,,,
CRT,,,,,,,,,,,,,,,,
POU,,,,,,,,,,,,,,,,
RHI,,,,,,,,,,,,,,,,
HUD,,,,,,,,,,,,,,,,
ALB,,,,,,233 last,,,,237 last, 253 last, 239 last, 241 last,243 last,259 last, 261 last
SDY,,,,,,blank,,,,blank,blank,blank,blank,blank,blank,blank
AMS,,,,,,blank,,"<span>Continues To<br>Burlington, VT</span>",,blank,blank,blank,blank,blank,blank,blank
UCA,,,,,,blank,,blank,,blank,blank,blank,blank,blank,blank,blank
ROM,,,,,,blank,,blank,,blank,blank,blank,blank,blank,blank,blank
SYR,,,,,,blank,,blank,,blank,blank,blank,blank,blank,blank,blank
ROC,,,,,,blank,,blank,,blank,blank,blank,blank,blank,blank,blank
BUF,,,,,,blank,,blank,,blank,blank,blank,blank,blank,blank,blank
BFX,,,,,,blank,,blank,"<span>Continues To<br>Chicago, IL</span>",blank,blank,blank,blank,blank,blank,blank
NFL,,,,,281 last,blank,283 last,blank,blank,blank,blank,blank,blank,blank,blank,blank
NFS,,,,,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
TWO,,,63 monday last,63 sunday last,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
