,51,171,147,145,19, access, station,176,156,20 thursday,20 saturday,50
column-options,,ardp,,,,,,ardp reverse,reverse,reverse,reverse,reverse
route-name,,,,,,,,,,,,
days,CVS,CVS,CVS,CVS,CVS,,,CVS,CVS,CVS,CVS,CVS
updown,,,,,,,,,,,,
BOS,blank,first,blank,blank,blank,,,last,blank,blank,blank,blank
BBY,blank,,blank,blank,blank,,,,blank,blank,blank,blank
RTE,blank,,See,blank,blank,,,,blank,blank,blank,blank
PVD,blank,,Hartford<br>Line,blank,blank,,,,blank,blank,blank,blank
KIN,blank,,timetable,blank,blank,,,,blank,blank,blank,blank
WLY,blank,,blank,blank,blank,,,,blank,blank,blank,blank
NLC,blank,,from<br>Hartford &,blank,blank,,,,blank,blank,blank,blank
OSB,blank,,Springfield,blank,blank,,,,blank,blank,blank,blank
NHV,blank,,,blank,blank,,,,blank,blank,blank,blank
BRP,blank,,,blank,blank,,,,blank,blank,blank,blank
STM,blank,,,blank,blank,,,,blank,blank,blank,blank
NRO,blank,,,blank,blank,,,,blank,blank,blank,blank
NYP,first two-row,,,first two-row,first two-row,,,,last two-row,last two-row,last two-row,last two-row
NWK,,,,,,,,,,,,
EWR,,,,,,,,,,,,
MET,,,,,,,,,,,,
TRE,,,,,,,,,,,,
PHL,,,,,,,,,,,,
WIL,,,,,,,,,,,,
BAL,,,,,,,,,,,,
BWI,,,,,,,,,,,,
NCR,,,,,,,,,,,,
WAS,,,,,,,,,,,,
ALX,,,,,,,,,,,,
BCV,,,,,,,,,,,,
MSS,,,,,,,,,,,,
CLP,,,,,,,,,,,,
CVS,,,,,,,,,,,,
LYH,to<br>Chicago,,,,,,,,,,,from<br>Chicago
RNK,blank,last,last,last,to<br>New Orleans,,,first,first,from<br>New Orleans,from<br>New Orleans,blank
