, access, station,66,150,160,162,54,660,2248,98,2250,152 saturday
column-options,,,ardp,,,,,,,,ardp,
route-name,,,,,,,,,,,,
days,,,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP
updown,,,,,,,,,,,,
,,,from<br>Roanoke,,,,,,,from<br>Miami,,
WAS,,,,first two-row,first two-row,first two-row,,,first two-row,,first two-row,first two-row
NCR,,,,,,,,,,,,
BWI,,,,,,,,,,,,
BAL,,,,,,,,,,,,
ABE,,,,,,,,,,,,
NRK,,,,,,,,from,,,,
WIL,,,,,,,,Harrisburg,,,,
PHL,,,,,,,,,,,,
PHN,,,,,,,,,,,,
CWH,,,,,,,,,,,,
TRE,,,,,,,,,,,,
PJC,,,,,,,,,,,,
NBK,,,,,,,,,,,,
MET,,,,,,,,,,,,
EWR,,,,,,,,,,,,
NWK,,,,,,,,,,,,
NYP,,,last two-row,,,,,last two-row,,last two-row,,
NRO,,,,,,,,,,,,
STM,,,,,,,,,,,,
BRP,,,,,,,,,,,,
NHV,,,,,,,,,,,,
OSB,,,,,,,,,,,,
NLC,,,,,,,to St.<br>Albans VT,,,,,
MYS,,,,,,,,,,,,
WLY,,,,,,,,,,,,
KIN,,,,,,,,,,,,
PVD,,,,,,,,,,,,
RTE,,,,,,,,,,,,
BBY,,,,,,,,,,,,
BOS,,,,last,last,last,,,last,,last,last
