, access, station,670,2218,156,20 saturday,168,92,146,672,80 saturday,192
column-options,,,ardp,,,,,,,,,ardp
route-name,,,,,,,,,,,,
days,,,PHL,WAS,WAS,WAS,WAS,WAS,WAS,PHL,WAS,WAS
updown,,,,,,,,,,,,
WAS,,,,first,first,20 saturday first,first,first,first,,80 saturday first,first
NCR,,,,,,,,,,,,
BWI,,,,,,,,,,,,
BAL,,,,,,,,,,,,
ABE,,,,,,,,,,,,
NRK,,,,,,,,,,,,
WIL,,,,,,,,,,,,
PHL,,,first,,,,,,,first,,
PHN,,,,,,,,,,,,
CWH,,,,,,,,,,,,
TRE,,,,,,,,,,,,
PJC,,,,,,,,,,,,
NBK,,,,,,,,,,,,
MET,,,,,,,,,,,,
EWR,,,,,,,,,,,,
NWK,,,,,,,,,,,,
NYP,,,last,last,last,20 saturday last,,last,last,last,80 saturday last,last
NRO,,,,,,,,,,,,
STM,,,,,,,,,,,,
BRP,,,,,,,,,,,,
NHV,,,,,,,,,,,,
OSB,,,,,,,,,,,,
NLC,,,,,,,,,,,,
MYS,,,,,,,,,,,,
WLY,,,,,,,,,,,,
KIN,,,,,,,,,,,,
PVD,,,,,,,,,,,,
RTE,,,,,,,,,,,,
BBY,,,,,,,,,,,,
BOS,,,,,,,last,,,,,
