, access, station,672,80 saturday,192,158,674,90,124,66
column-options,,,ardp,,ardp,,,,,ardp
route-name,,,,,,,,,,
days,,,NYP,NYP,NYP,NYP,NYP,NYP,NYP,WAS
updown,,,,,,,,,,
,,,,from<br>Charlotte,,from<br>Norfolk,,from<br>Savannah,from<br>Newport News,from<br>Roanoke
WAS,,,,,first two-row,,,,,
NCR,,,,,,,,,,
BWI,,,,,,,,,,
BAL,,,,,,,,,,
ABE,,,,,,,,,,
NRK,,,from,,,,from,,,
WIL,,,Harrisburg,,,,Harrisburg,,,
PHL,,,,,,,,,,
PHN,,,,,,,,,,
CWH,,,,,,,,,,
TRE,,,,,,,,,,
PJC,,,,,,,,,,
NBK,,,,,,,,,,
MET,,,,,,,,,,
EWR,,,,,,,,,,
NWK,,,,,,,,,,
NYP,,,last two-row,last two-row,last two-row,last two-row,last two-row,last two-row,last two-row,last two-row
NRO,,,,,,,,,,
STM,,,,,,,,,,
BRP,,,,,,,,,,
NHV,,,,,,,,,,
OSB,,,,,,,,,,
NLC,,,,,,,,,,
MYS,,,,,,,,,,
WLY,,,,,,,,,,
KIN,,,,,,,,,,
PVD,,,,,,,,,,
RTE,,,,,,,,,,
BBY,,,,,,,,,,
BOS,,,,,,,,,,
