,89,79 sunday,79 monday,91,97, access, station,98 sunday,98 saturday,92,80,90
column-options,ardp,,,,,,,ardp reverse,reverse,reverse,reverse,reverse
route-name,,,,,,,,,,,,
days,NYP,NYP,NYP,NYP,NYP,,,NYP,NYP,NYP,"<div style=""text-align:center; font-weight:bold;"">Daily</div>",NYP
updown,,,,,,,,,,,,
NYP,first,first,first,first,first,,,last,last,last,last,last
NWK,,,,,,,,,,,,
MET,,,,,,,,,,,,
NBK,,,,,,,,,,,,
PJC,,,,,,,,,,,,
TRE,,,,,,,,,,,,
PHL,,,,,,,,,,,,
WIL,,,,,,,,,,,,
BAL,,,,,,,,,,,,
BWI,,,,,,,,,,,,
omit,Note: the northbound Palmetto (but not the southbound!) stops at New Carrollton.  We omit this station intentionally, it's present in the Virginia Service timetables.,,,,,,,,,,
WAS,,,,,,,,,,,,
ALX,,,,,,,,,,,,
FBG,,,,,,,,,,,,
RVR,,,,,,,,,,,,
PTB,,,,,,,,,,,,
RMT,,,,,,,,,,,,
WLN,,,,,,,,,,,,
SSM,,,,,,,,,,,,
RGH,,,,,,,,,,,,
CYN,,,,,,,,,,,,
SOP,,"<div style=""text-align:center;"">to</div>","<div style=""text-align:center;"">to</div>",,,,,,,,"<div style=""text-align:center;"">from</div>",
HAM,,"<div style=""text-align:center;"">Charlotte</div>","<div style=""text-align:center;"">Charlotte</div>",,,,,,,,"<div style=""text-align:center;"">Charlotte</div>",
CAM,,blank,blank,,,,,,,,blank,
CLB,,blank,blank,,,,,,,,blank,
DNK,,blank,blank,,,,,,,,blank,
FAY,,blank,blank,,,,,,,,blank,
DIL,,blank,blank,,,,,,,,blank,
FLO,,blank,blank,,,,,,,,blank,
KTR,,blank,blank,,,,,,,,blank,
CHS,,blank,blank,,,,,,,,blank,
,downarrow,downarrow,downarrow,downarrow,downarrow,,Continued on Page 2,uparrow,uparrow,uparrow,uparrow,uparrow
route-name,,,,,,,,,,,,
days,NYP,NYP,NYP,NYP,NYP,,,NYP,NYP,NYP,"<div style=""text-align:center; font-weight:bold;"">Daily</div>",NYP
updown,,,,,,,,,,,,
,downarrow,downarrow,downarrow,downarrow,downarrow,,Continued from Page 1,uparrow,uparrow,uparrow,uparrow,uparrow
CHS,,blank,blank,,,,,,,,blank,
YEM,,blank,blank,,,,,,,,blank,
SAV,89 last two-row,blank,blank,,,,,,,,blank,90 first two-row
JSP,,,,,,,,,,,,
JAX,,,,,,,,,,,,
PAK,,,,,,,,,,,,
DLD,,,,,,,,,,,,
WPK,,,,,,,,,,,,
ORL,,,,,,,,,,,,
KIS,,,,,,,,,,,,
LAK,,,,,,,,,,,,
TPA,,,,,,,,,,,,
LKL,,,,,,,,,,,,
WTH,,,,,,,,,,,,
SBG,,,,,,,,,,,,
OKE,,,,,,,,,,,,
WPB,,,,,,,,,,,,
DLB,,,,,,,,,,,,
DFB,,,,,,,,,,,,
FTL,,,,,,,,,,,,
HOL,,,,,,,,,,,,
MIA,,,,91 last,97 last,,,98 sunday first,first,92 first,,
