,21/421,mile,access,stations,timezone,22/422
column-options,ardp days,,,,,reverse ardp days
updown,,,,,,
CHI,21 first,0,,,,22 last
JOL,,37,,,,
PON,,92,,,,
BNL,,124,,,,
LCN,,156,,,,
SPI,,185,,,,
CRV,,224,,,,
ALN,,257,,,,
STL,,284,,,,
ACD,,376,,,,
PBF,,453,,,,
WNR,,513,,,,
LRK,,634,,,,
MVN,,677,,,,
ARK,,694,,,,
HOP,,741,,,,
TXA,,774,,,,
MHL,,840,,,,
LVW,,864,,,,
MIN,,912,,,,
DAL,,991,,,,
FTW,,1022,,,,
CBR,,1050,,,,
MCG,,1125,,,,
TPL,,1150,,,,
TAY,,1188,,,,
AUS,,1223,,,,
SMC,,1253,,,,
SAS,21 last,1305,,,,22 first
SAS,421 first,1305,,,,422 last
DRT,,1475,,,,
SND,,1600,,,,
ALP,,1692,,,,
ELP,,1910,,,,
DEM,,1998,,,,
LDB,,2057,,,,
BEN,,2176,,,,
TUS,,2226,,,,
MRC,,2312,,,,
YUM,,2477,,,,
PSN,,2622,,,,
ONA,,2690,,,,
POS,,2696,,,,
LAX,421 last,2728,,,,422 first
