,461,55,57,479,mile, access, station,56,54,486,488,494
column-options,,ardp,,,,,,ardp reverse,reverse,reverse,reverse,reverse
days,NHV,SAB,SAB,NHV,,,,SAB,SAB,NHV,NHV,NHV
updown,,,,,,,,,,,,
SAB,blank,55 first,57 first,blank,0,,,56 last,54 last,blank,blank,blank
ESX,blank,,,blank,24,,,,,blank,blank,blank
WAB,blank,,,blank,47,,,,,blank,blank,blank
MPR,blank,,,blank,56,,,,,blank,blank,blank
RPH,blank,,,blank,86,,,,,blank,blank,blank
WRJ,blank,,,blank,118,,,,,blank,blank,blank
WNM,blank,,,blank,131,,,,,blank,blank,blank
CLA,blank,,,blank,140,,,,,blank,blank,blank
BLF,blank,,,blank,157,,,,,blank,blank,blank
BRA,blank,,,blank,181,,,,,blank,blank,blank
GFD,first,,,first,205,,,,,last,last,last
NHT,,,,,224,,,,,,,
HLK,,,,,235,,,,,,,
SPG,,,,,245,,,,,,,
WNL,,,,,260,,,,,,,
HFD,,,,,271,,,,,,,
MDN,,,,,289,,,,,,,
NHV,last,,,last,307,,,,,first,first,first
BRP,blank,,,blank,324,,,,,blank,blank,blank
STM,blank,,,blank,346,,,,,blank,blank,blank
NYP,blank,,,blank,382,,,,,blank,blank,blank
NWK,blank,,,blank,392,,,,,blank,blank,blank
MET,blank,,,blank,406,,,,,blank,blank,blank
TRE,blank,,,blank,440,,,,,blank,blank,blank
PHL,blank,,,blank,473,,,,,blank,blank,blank
WIL,blank,,,blank,498,,,,,blank,blank,blank
BAL,blank,,,blank,567,,,,,blank,blank,blank
BWI,blank,,,blank,578,,,,,blank,blank,blank
NCR,blank,,,blank,599,,,,,blank,blank,blank
WAS,blank,55 last,57 last,blank,608,,,56 first,54 first,blank,blank,blank
