,350 monday,352 monday,364 monday,354 monday,mile,access,station,timezone,351 monday,365 monday,353 monday,355 monday
column-options,ardp,,,ardp,,,,,ardp reverse,reverse,reverse,ardp reverse
route-name,,,,,,,,,,,,
days,Daily,Daily,Daily,Daily,,,,,Daily,Daily,Daily,Daily
updown,,,,,,,,,,,,
CHI,first,first,first,first,0,,,,last,last,last,last
HMI,,,,,16,,,,,,,
NBU,,,,,62,,,,,,,
NLS,,,,,89,,,,,,,
DOA,,,,,102,,,,,,,
KAL,,,,,138,,,,,,,
BTL,,,,,160,,,,,,,
ALI,,,,,184,,,,,,,
JXN,,,,,208,,,,,,,
ARB,,,,,243,,,,,,,
DER,,,,,271,,,,,,,
DET,,,,,281,,,,,,,
ROY,,,,,292,,,,,,,
TRM,,,,,296,,,,,,,
PNT,last,last,,last,304,,,,first,,first,first
LNS,blank,blank,,blank,208,,,,blank,,blank,blank
DRD,blank,blank,,blank,238,,,,blank,,blank,blank
FLN,blank,blank,,blank,256,,,,blank,,blank,blank
LPE,blank,blank,,blank,274,,,,blank,,blank,blank
PTH,blank,blank,last,blank,319,,,,blank,first,blank,blank
